时间,静压,总压,总温,气压高度,指示空速,真空速,马赫数,垂直速度,大气静温
409.2,73982.451389554,104494.096613242,303.39474918962,2574.89221501372,212.665893956311,253.501121601686,0.767572246712297,7.92505608008428,271.413200602411
409.3,73975.0748628855,104451.052554197,303.354793599539,2575.68437566109,212.552404497763,253.363137344527,0.767161723286131,7.91815686722634,271.408051558203
409.4,73967.7053861432,104407.724624167,303.314529494844,2576.47584309437,212.437905767611,253.223835967832,0.766747197613619,7.91119179839162,271.402907019887
409.5,73960.3430189125,104364.114811235,303.273958851423,2577.26661074172,212.322401728044,253.083222970982,0.766328686182653,7.90416114854912,271.397767030179
409.6,73952.9878205032,104320.225116712,303.233083660095,2578.05667205891,212.205896378588,252.941303905137,0.76590620563912,7.89706519525685,271.392631631617
409.7,73945.6398499479,104276.057554969,303.191905926441,2578.8460205296,212.088393756012,252.798084373018,0.765479772786253,7.8899042186509,271.387500866558
409.8,73938.2991659992,104231.61415327,303.150427670643,2579.63464966561,211.969897934232,252.653570028687,0.765049404583968,7.88267850143436,271.382374777174
409.9,73930.9658271275,104186.896951609,303.10865092731,2580.42255300712,211.850413024215,252.507766577324,0.764615118148203,7.87538832886619,271.377253405454
410,73923.6398915191,104141.90800254,303.066577745314,2581.209724123,211.729943173879,252.360679774998,0.764176930750247,7.86803398874989,271.3721367932
410.1,73916.3214170738,104096.649371011,303.024210187621,2581.99615661101,211.608492567994,252.212315428445,0.763734859816057,7.86061577142224,271.367024982028
410.2,73909.0104614027,104051.123134191,302.981550331118,2582.78184409807,211.486065428087,252.062679394835,0.763288922925579,7.85313396974175,271.361918013363
410.3,73901.707081826,104005.331381307,302.938600266443,2583.56678024051,211.362666012333,251.911777581543,0.762839137812055,7.84558887907714,271.356815928437
410.4,73894.4113353708,103959.276213468,302.895362097813,2584.35095872433,211.238298615456,251.759615945913,0.762385522361331,7.83798079729566,271.351718768292
410.5,73887.1232787691,103912.959743495,302.851837942853,2585.13437326543,211.112967568626,251.606200495028,0.76192809461115,7.83031002475138,271.346626573775
410.6,73879.8429684555,103866.384095751,302.808029932418,2585.91701760988,210.986677239354,251.451537285465,0.761466872750445,7.82257686427323,271.341539385536
410.7,73872.5704605653,103819.55140597,302.763940210424,2586.69888553415,210.859432031383,251.295632423063,0.761001875118628,7.81478162115317,271.336457244028
410.8,73865.3058109318,103772.46382108,302.719570933665,2587.47997084537,210.731236384583,251.138492062681,0.760533120204867,7.80692460313404,271.331380189505
410.9,73858.0490750849,103725.123499032,302.674924271646,2588.26026738154,210.602094774842,250.980122407949,0.760060626647356,7.79900612039746,271.32630826202
411,73850.8003082486,103677.532608626,302.630002406398,2589.03976901184,210.472011713954,250.820529711031,0.759584413232591,7.79102648555158,271.321241501423
